id,ABEV3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRDT3,BRFS3,BRKM5,BRML3,BTOW3,CCRO3,CIEL3,CMIG4,COGN3,CPFE3,CRFB3,CSAN3,CSNA3,CVCB3,CYRE3,ECOR3,EGIE3,ELET3,ELET6,EMBR3,ENBR3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GNDI3,GOAU4,GOLL4,HAPV3,HGTX3,HYPE3,IGTA3,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,NTCO3,PCAR3,PETR3,PETR4,PRIO3,QUAL3,RADL3,RAIL3,RENT3,SANB11,SBSP3,SULA11,SUZB3,TAEE11,TIMS3,TOTS3,UGPA3,USIM5,VALE3,VIVT3,VVAR3,WEGE3,YDUQ3,Ibovespa,IBOV
175,17,3,18,32,6,69,36,9,16,7,11,21,12,6,19,7,53,14,0,2,1,4,22,6,6,6,31,14,13,9,24,3,7,7,28,17,3,15,4,2,1,1,1,7,16,37,10,10,14,7,87,8,8,0,0,0,4,16,1,3,44,46,18,15,5,7,100,20,0,2,2,7,15,1,20,1,0,15,3
176,12,5,13,24,5,63,32,14,18,5,10,22,6,5,12,10,37,20,0,2,3,5,15,8,5,9,25,14,13,22,28,1,5,15,33,14,1,13,8,3,1,1,1,4,22,37,26,11,12,6,83,6,8,1,0,0,4,17,2,2,16,54,17,12,14,6,88,24,0,4,4,8,14,0,23,1,0,16,4
177,10,2,9,26,5,49,20,9,44,5,6,22,14,3,11,5,36,17,0,0,3,3,16,5,3,11,26,38,29,16,18,3,3,11,24,15,2,10,3,1,1,1,1,2,19,29,15,7,12,8,72,4,8,1,0,0,4,18,1,1,10,44,21,7,10,15,79,38,0,4,4,6,12,0,21,1,0,16,3
178,12,3,12,30,5,58,21,8,87,2,8,18,12,4,10,6,35,15,0,1,2,4,13,6,4,5,32,23,11,17,21,2,1,14,26,15,3,17,3,2,1,1,1,3,22,35,16,10,8,5,57,5,7,1,0,0,4,16,2,1,20,36,16,13,2,7,70,23,0,5,4,7,13,0,20,1,0,18,4
179,7,7,14,26,7,55,19,13,31,7,9,18,7,4,5,11,52,20,0,1,2,2,10,8,5,13,28,13,8,24,30,3,5,16,32,12,2,12,8,2,1,1,1,6,21,37,17,12,9,7,46,8,15,1,0,0,4,14,1,1,13,54,45,16,6,11,69,31,0,11,4,6,12,0,14,1,0,15,3
180,12,7,18,28,4,51,18,17,25,6,4,17,12,6,9,6,38,12,0,3,3,4,18,4,7,8,23,15,9,23,27,6,4,9,18,17,2,13,6,2,1,1,1,4,17,38,14,13,6,7,76,7,15,0,0,0,5,14,1,1,12,36,24,11,11,13,67,30,0,1,2,7,14,1,16,1,0,14,3
181,13,12,10,30,6,56,15,12,14,5,7,11,12,3,8,8,68,14,0,2,2,4,16,6,6,9,21,17,10,20,28,3,5,11,20,10,3,10,11,2,1,1,1,5,16,27,15,11,8,5,44,9,8,0,0,0,6,23,2,1,6,45,20,9,9,8,68,22,0,2,2,5,12,1,13,1,0,14,2
182,7,7,10,30,4,48,23,16,15,5,5,21,14,4,9,8,50,16,0,3,3,2,19,6,4,11,24,30,8,19,22,3,5,11,23,12,2,10,13,1,1,1,1,6,15,30,18,10,5,5,41,15,10,2,0,0,4,13,1,1,19,40,28,7,7,6,45,20,0,2,3,7,10,0,14,1,0,12,2
183,9,6,10,38,4,63,21,19,32,5,4,19,11,3,6,7,39,11,0,3,2,2,17,5,4,8,23,16,7,19,19,4,2,7,30,9,4,10,9,3,1,1,1,5,20,38,15,10,5,4,30,11,7,2,0,0,3,12,1,0,24,55,30,12,16,5,37,35,0,3,2,5,10,0,12,1,0,14,3
184,11,4,8,34,13,93,25,11,19,5,5,12,10,3,10,3,34,15,10,1,2,2,16,5,3,8,26,38,19,18,28,3,4,9,19,11,3,15,8,3,0,1,1,4,19,31,17,10,5,4,47,9,4,0,0,0,4,12,1,0,28,39,11,10,9,2,52,30,0,4,2,5,12,0,11,1,0,13,3
